Open;Close;High;Low;Volume;Date
79,28;79,23;80,17;78,13;;29/12/2021
79,19;79,32;79,66;78,5;;30/12/2021
78,81;77,78;79,68;77,55;;31/12/2021
78,11;78,98;79,28;77,04;;3/01/2022
78,91;80;80,55;78,62;;4/01/2022
80,07;80,8;81,5;79,51;;5/01/2022
80,22;81,99;82,83;79,61;;6/01/2022
82;81,75;83;81,42;;7/01/2022
81,76;80,87;82,3;80,5;;10/01/2022
81,08;83,72;83,98;80,89;;11/01/2022
83,78;84,67;85,21;83,52;;12/01/2022
84,87;84,47;85,1;83,79;;13/01/2022
84,12;86,06;86,5;83,99;;14/01/2022
86,15;86,48;86,71;85,54;;17/01/2022
86,47;87,51;88,66;86,44;;18/01/2022
88,65;88,44;89,17;87,61;;19/01/2022
87,89;88,38;89,5;87,05;;20/01/2022
86,75;87,89;88,23;85,71;;21/01/2022
87,93;86,27;88,9;85,04;;24/01/2022
86,76;88,2;88,37;86,2;;25/01/2022
87,95;89,96;90,47;87,79;;26/01/2022
89,7;89,34;91,04;89;;27/01/2022
89,98;90,03;91,7;89,41;;28/01/2022
90,8;91,21;91,48;90,61;;31/01/2022
89,62;89,16;89,96;87,72;;1/02/2022
89,48;89,47;90,52;88,28;;2/02/2022
89,07;91,11;91,3;88,02;;3/02/2022
91,3;93,27;93,7;91,2;;4/02/2022
92,75;92,69;94;92,13;;7/02/2022
92,63;90,78;92,93;89,93;;8/02/2022
91,08;91,55;92,09;90,05;;9/02/2022
91,75;91,41;93,1;90,88;;10/02/2022
91,17;94,44;95,66;90,51;;11/02/2022
95,2;96,48;96,78;93,44;;14/02/2022
95,81;93,28;96,26;92,06;;15/02/2022
93,49;94,81;96,07;91,11;;16/02/2022
92,2;92,97;94,5;92,14;;17/02/2022
92,73;93,54;94,15;90,12;;18/02/2022
94,29;95,39;97,4;92,57;;21/02/2022
96,55;96,84;99,5;95,8;;22/02/2022
96,65;96,84;98,71;95,81;;23/02/2022
98,08;99,08;105,79;97,56;;24/02/2022
100,69;97,93;101,99;96;;25/02/2022
101,98;100,99;105,07;99,64;;28/02/2022
98,43;104,97;107,67;98,3;;1/03/2022
