Open;Close;High;Low;Volume;Date
1827,19;1827,19;1827,19;1827,19;;5/09/2021
1827,19;1822,77;1827,19;1821,17;;6/09/2021
1822,77;1793,89;1822,77;1792,9;;7/09/2021
1795,09;1789,04;1801,94;1782,49;;8/09/2021
1789,69;1794,54;1800,45;1784,69;;9/09/2021
1793,99;1789,27;1803,64;1789,27;;10/09/2021
1789,27;1789,27;1789,27;1789,27;;11/09/2021
1789,27;1789,27;1789,27;1789,27;;12/09/2021
1789,27;1794,22;1797,79;1785,69;;13/09/2021
1793,59;1803,92;1808,49;1782,34;;14/09/2021
1803,89;1793,69;1806,49;1790,69;;15/09/2021
1794,08;1753,24;1796,14;1745,64;;16/09/2021
1753,64;1754,49;1767,29;1747,49;;17/09/2021
1754,49;1754,49;1754,49;1754,49;;19/09/2021
1754,89;1764,44;1766,89;1742,94;;20/09/2021
1764,29;1774,19;1781,49;1757,98;;21/09/2021
1775,09;1768,14;1786,69;1765,55;;22/09/2021
1768,64;1743,49;1775,99;1738,47;;23/09/2021
1744,78;1750,34;1757,19;1740,59;;24/09/2021
1750,34;1750,34;1750,34;1750,34;;25/09/2021
1750,34;1750,34;1750,34;1750,34;;26/09/2021
1749,67;1750,87;1760,39;1745,19;;27/09/2021
1750,42;1734,47;1754,1;1727,99;;28/09/2021
1734,14;1727,28;1745,49;1721,49;;29/09/2021
1726,97;1757,64;1763,7;1722,07;;30/09/2021
1755,67;1760,54;1763,37;1749,77;;1/10/2021
1760,54;1760,54;1760,54;1760,54;;3/10/2021
1760,99;1769,44;1770,44;1747,67;;4/10/2021
1768,37;1760,09;1769,24;1749,13;;5/10/2021
1759,89;1762,89;1764,79;1745,84;;6/10/2021
1762,89;1754,43;1766,69;1751,99;;7/10/2021
1755,84;1756,64;1780,79;1753,27;;8/10/2021
1756,64;1756,64;1756,64;1756,64;;10/10/2021
1756,64;1753,99;1760,89;1750,29;;11/10/2021
1753,94;1759,94;1769,09;1750,89;;12/10/2021
1760,49;1793,94;1795,57;1758,69;;13/10/2021
1792,69;1796,09;1799,99;1786,59;;14/10/2021
1795,87;1767,59;1796,44;1764,69;;15/10/2021
1767,59;1767,59;1767,59;1767,59;;17/10/2021
1767,59;1764,69;1771,69;1760,17;;18/10/2021
1764,99;1770,04;1784,89;1762,69;;19/10/2021
1769,29;1782,19;1788,09;1766,72;;20/10/2021
1782,59;1782,84;1788,99;1776,49;;21/10/2021
1783,17;1792,79;1813,39;1782,79;;22/10/2021
1792,79;1807,74;1809,69;1792,29;;25/10/2021
1807,19;1792,99;1807,89;1782,59;;26/10/2021
1792,67;1797,72;1798,7;1783,39;;27/10/2021
1796,29;1799,05;1809,67;1792,5;;28/10/2021
1799,5;1783,4;1801,15;1772,1;;29/10/2021
0;1769,5;1769,5;1769,5;;30/10/2021
1781,35;1780,65;1782,25;1780,4;;31/10/2021
1780,59;1791,44;1795,5;1779,1;;1/11/2021
1791,38;1787,08;1796;1786,2;;2/11/2021
1786,78;1773,55;1787,38;1758,63;;3/11/2021
1773,7;1791,15;1798,8;1770,8;;4/11/2021
1791,7;1817,73;1818,25;1785,95;;5/11/2021
1817,73;1817,73;1817,73;1817,73;;6/11/2021
1817,73;1817,73;1817,73;1817,73;;7/11/2021
1815,85;1824,05;1826,15;1812,52;;8/11/2021
1824,3;1831,85;1832,6;1819,02;;9/11/2021
1831,85;1849,2;1859,75;1822,79;;10/11/2021
1848,85;1862,2;1865,85;1843,1;;11/11/2021
1861,9;1864,9;1868,11;1845,2;;12/11/2021
1864,9;1864,9;1864,9;1864,9;;14/11/2021
1864,9;1862,8;1869,4;1856,2;;15/11/2021
1862,25;1850,6;1876,43;1849,46;;16/11/2021
1849,85;1867,4;1867,9;1849,75;;17/11/2021
1866,45;1859;1870,9;1855,6;;18/11/2021
1859,3;1845,8;1865,11;1843,55;;19/11/2021
1845,8;1845,8;1845,8;1845,8;;20/11/2021
1845,8;1845,8;1845,8;1845,8;;21/11/2021
1844,09;1804,75;1848,8;1802,6;;22/11/2021
1808,45;1789,1;1811,79;1782;;23/11/2021
1789,11;1788,75;1796,35;1778,8;;24/11/2021
1788,3;1789,54;1794,8;1786,21;;25/11/2021
1789,54;1792,6;1814,7;1783,5;;26/11/2021
1792,6;1792,6;1792,6;1792,6;;28/11/2021
1788,6;1784,6;1799,35;1781,6;;29/11/2021
1785,25;1775,05;1808,45;1769,7;;30/11/2021
1775,95;1780,98;1791,7;1772,3;;1/12/2021
1781,9;1767,73;1782,9;1762,19;;2/12/2021
1769,5;1783,35;1785,95;1766;;3/12/2021
1783,35;1783,35;1783,35;1783,35;;4/12/2021
1783,35;1783,35;1783,35;1783,35;;5/12/2021
1782;1778,3;1787,25;1776,35;;6/12/2021
1779,2;1784,2;1787,55;1772,7;;7/12/2021
1784,85;1783,1;1792,72;1779,9;;8/12/2021
1783,1;1775;1787,24;1773,87;;9/12/2021
1776;1782,7;1787,7;1769,9;;10/12/2021
1782,7;1782,7;1782,7;1782,7;;11/12/2021
1782,7;1782,7;1782,7;1782,7;;12/12/2021
