Open;Close;High;Low;Volume;Date
27,00625;25,90625;27,2385;25,77175;;17/06/2021
25,98625;25,8;26,4535;25,77;;18/06/2021
25,89;25,9475;26,0775;25,5675;;21/06/2021
25,985;25,7625;26,02575;25,71925;;22/06/2021
25,8;25,8825;26,26325;25,7525;;23/06/2021
25,8925;25,93;26,13;25,81925;;24/06/2021
25,975;25,885;26,28425;25,885;;25/06/2021
25,885;26,685;26,685;25,885;;27/06/2021
26,11;26,095;26,215;25,81;;28/06/2021
26,08625;25,765;26,11;25,5725;;29/06/2021
25,805;26,1375;26,14;25,70625;;30/06/2021
26,13875;26,02375;26,38425;25,94325;;1/07/2021
26,03;26,585;26,585;25,97775;;2/07/2021
26,585;26,585;26,585;26,585;;3/07/2021
26,57;26,5625;26,585;26,55875;;4/07/2021
26,4575;26,835;26,835;26,37675;;5/07/2021
26,8425;26,14875;26,8425;26,02;;6/07/2021
26,145;26,1475;26,42825;25,995;;7/07/2021
26,15625;26,805;26,805;25,81175;;8/07/2021
25,9425;26,805;26,805;25,77125;;9/07/2021
26,805;26,805;26,805;26,805;;10/07/2021
26,805;26,805;26,805;26,805;;11/07/2021
26,1125;26,21875;26,26875;25,8705;;12/07/2021
26,2125;25,985;26,805;25,9425;;13/07/2021
25,9825;26,805;26,805;25,93775;;14/07/2021
26,24925;26,805;26,805;26,16225;;15/07/2021
26,335;25,69075;26,44275;25,596;;16/07/2021
25,69075;26,585;26,585;25,69075;;18/07/2021
25,6525;25,20075;25,75575;25,005;;19/07/2021
25,175;25,585;25,585;24,8125;;20/07/2021
24,94825;25,275;25,3025;24,7695;;21/07/2021
25,295;26,435;26,585;25,00825;;22/07/2021
25,42075;25,17875;25,46;25,015;;23/07/2021
25,20375;25,465;25,465;25,1275;;26/07/2021
25,20775;24,785;25,25925;24,49125;;27/07/2021
24,704;24,965;25,00475;24,6425;;28/07/2021
24,9875;25,53375;25,79;24,9675;;29/07/2021
25,54;25,4875;25,63575;25,34075;;30/07/2021
25,4875;25,4875;25,4875;25,4875;;31/07/2021
25,4875;25,4875;25,4875;25,4875;;1/08/2021
25,505;25,43075;25,62875;25,30825;;2/08/2021
25,41225;25,5225;25,5825;25,2575;;3/08/2021
25,5275;26,2925;26,2925;25,33825;;4/08/2021
25,4;25,7925;25,7925;25,08875;;5/08/2021
25,17125;24,34325;25,20375;24,2075;;6/08/2021
24,34325;24,34325;24,34325;24,34325;;7/08/2021
24,34325;24,34325;24,34325;24,34325;;8/08/2021
24,3075;23,44625;24,3075;22,75275;;9/08/2021
23,44625;23,33525;23,67;23,2495;;10/08/2021
23,34825;23,57325;23,5825;23,20525;;11/08/2021
23,54;23,1755;23,55;23,018;;12/08/2021
23,2025;23,74;23,82775;23,17075;;13/08/2021
23,76625;23,84375;23,892;23,43025;;16/08/2021
23,855;23,6325;23,94575;23,585;;17/08/2021
23,66875;23,515;23,82;23,29125;;18/08/2021
23,52;23,21575;23,535;23,09525;;19/08/2021
23,24;23,02725;23,3225;22,88325;;20/08/2021
23,07675;23,64425;23,68275;22,97125;;23/08/2021
23,634;24,0375;24,0375;23,53275;;24/08/2021
23,83375;23,8475;23,88425;23,6275;;25/08/2021
23,84275;23,5675;23,86625;23,4325;;26/08/2021
23,57625;24,0225;24,11025;23,35;;27/08/2021
24,0225;24,0225;24,0225;24,0225;;29/08/2021
24,04625;24,0375;24,20275;23,91675;;30/08/2021
24,02325;23,904;24,1975;23,81675;;31/08/2021
23,90125;24,16525;24,25925;23,755;;1/09/2021
24,1475;24,335;24,335;23,7925;;2/09/2021
23,9025;24,72;24,86075;23,87525;;3/09/2021
24,72;24,72;24,72;24,72;;4/09/2021
24,72;24,72;24,72;24,72;;5/09/2021
24,7475;24,67525;24,8125;24,64;;6/09/2021
24,6475;24,315;24,67;24,16625;;7/09/2021
24,325;23,995;24,40775;23,9275;;8/09/2021
23,94825;24,315;24,315;23,85;;9/09/2021
24,055;23,515;24,28625;23,515;;10/09/2021
23,515;23,515;23,515;23,515;;11/09/2021
23,515;23,515;23,515;23,515;;12/09/2021
23,7825;23,735;23,8475;23,39275;;13/09/2021
23,74675;23,86;23,9525;23,46325;;14/09/2021
23,84175;23,8475;23,9025;23,662;;15/09/2021
23,849;22,9025;23,955;22,60525;;16/09/2021
22,92075;22,40375;23,1275;22,35;;17/09/2021
22,40375;22,5625;22,57;22,40375;;19/09/2021
22,4125;22,265;22,503;22,0625;;20/09/2021
